Study_Hours;Attendance_Percent;Assignments_Completed;Previous_Score;Sleep_Hours
3.6;72.6;7;81.6;5.8
5.6;79.1;10;82.2;8.8
5.2;77.4;10;100;7.5
5.5;90.5;10;100;6
5.5;76.7;9;100;7
4.9;70;7;85.6;8.3
4.9;73.7;10;87.1;7
2.7;68.7;9;73.5;6.8
3.2;70.8;8;84.9;6.4
3.5;67;10;77.2;7
6;77.8;10;88.7;6.9
4.4;85.4;10;100;7.5
5.7;75.3;10;82.9;7.8
4.6;81.1;9;83.4;7.3
