Study_Hours,Attendance_Percent,Assignments_Completed,Previous_Score,Sleep_Hours,Exam_Score
9.19,69.9,6.9,58.3,9.1,99.3
9.49,83.9,5.4,76.5,5.5,100.0
9.47,61.1,10.0,78.0,6.6,100.0
1.86,86.4,9.2,75.4,5.5,98.9
3.33,75.7,3.6,43.5,5.8,73.2
10.85,67.9,3.6,77.5,9.5,100.0
10.67,92.4,6.3,81.8,7.2,100.0
3.26,86.0,8.4,57.9,6.7,96.8
7.07,90.8,8.7,70.7,6.8,100.0
3.89,84.4,10.0,72.5,6.0,95.8
5.58,84.8,8.0,62.4,6.4,100.0
1.23,77.5,5.6,68.9,7.6,88.6
4.1,85.5,8.3,57.7,6.6,96.7
3.98,80.5,5.4,69.2,6.6,92.4
11.11,74.9,6.0,65.8,6.8,100.0
7.47,79.4,4.6,70.6,7.1,100.0
2.95,68.6,5.9,90.0,6.8,99.3
5.7,81.0,6.4,54.8,6.4,89.8
6.42,85.7,6.5,81.6,6.5,100.0
8.01,82.5,10.0,68.6,7.6,100.0
6.86,86.9,7.7,67.6,6.6,100.0
5.63,78.2,8.1,42.2,6.8,96.8
4.42,81.6,7.8,79.1,6.2,100.0
7.32,81.6,10.0,53.6,6.9,100.0
11.73,100.0,5.8,56.2,7.6,100.0
7.08,68.3,8.9,64.3,4.8,95.4
10.76,100.0,6.0,63.6,7.2,100.0
1.17,74.0,7.3,57.2,7.8,84.7
3.23,77.9,8.4,84.9,7.0,100.0
10.51,84.0,5.1,75.6,6.3,100.0
7.26,87.1,6.8,96.5,8.2,100.0
6.36,81.0,7.5,58.7,8.2,92.0
5.06,83.5,8.4,58.2,5.9,100.0
4.25,95.1,7.1,91.3,7.6,100.0
8.47,100.0,10.0,52.5,7.3,100.0
5.02,85.4,10.0,71.1,4.5,100.0
5.79,88.2,3.5,64.2,7.4,95.3
9.55,80.3,7.7,64.7,5.3,100.0
11.41,97.8,8.5,50.9,7.0,100.0
11.93,80.2,8.1,59.7,5.2,100.0
6.33,86.4,10.0,91.4,7.6,100.0
2.52,71.0,2.4,69.9,9.8,88.4
1.27,55.0,5.6,86.1,6.2,86.2
6.44,100.0,10.0,60.4,5.9,100.0
1.84,91.9,9.7,69.7,5.1,98.2
2.29,90.4,10.0,75.8,5.8,100.0
3.58,72.1,10.0,75.6,8.3,100.0
11.91,65.2,5.2,65.8,7.1,100.0
2.78,79.0,9.4,68.9,4.9,99.3
2.21,82.5,7.0,81.2,6.7,96.3
11.08,88.5,7.9,71.9,6.5,100.0
7.84,81.5,7.6,46.8,7.7,100.0
9.14,94.1,6.7,60.8,6.4,100.0
4.9,84.8,6.6,54.8,7.5,92.7
11.27,84.4,8.9,47.8,6.9,100.0
11.74,92.9,6.5,77.8,5.0,100.0
7.14,74.8,7.9,80.9,5.7,100.0
11.86,85.2,8.4,58.8,8.6,100.0
6.56,75.9,6.5,64.3,7.4,100.0
5.84,74.7,7.0,91.9,7.2,100.0
9.64,96.4,9.6,66.2,7.0,100.0
8.09,92.2,4.4,67.1,5.0,100.0
3.21,86.7,6.3,71.8,6.7,97.7
6.66,94.4,5.1,83.7,7.5,100.0
1.18,85.1,7.9,74.1,7.9,91.4
10.63,94.8,10.0,81.0,8.3,100.0
6.97,73.0,5.3,56.5,7.5,98.7
1.51,80.0,9.7,78.5,7.7,93.6
11.32,85.2,10.0,67.1,6.3,100.0
11.99,71.5,3.7,58.5,8.7,100.0
9.11,74.8,5.1,74.8,5.9,100.0
5.74,69.2,7.5,98.6,7.4,100.0
7.51,88.2,5.7,70.8,6.7,100.0
1.11,76.9,8.0,80.6,8.5,95.2
2.19,84.1,10.0,65.0,6.9,100.0
4.64,86.6,8.8,49.6,7.9,93.0
5.52,79.9,7.1,74.8,6.2,100.0
9.32,81.7,8.5,56.1,8.5,100.0
2.88,82.8,8.1,65.5,8.2,91.8
2.28,85.7,5.2,91.8,8.9,100.0
8.67,94.7,6.4,46.6,6.7,100.0
10.77,70.6,8.3,72.5,8.1,100.0
10.68,82.4,7.4,74.4,7.9,100.0
9.16,69.6,8.1,72.1,8.5,100.0
11.82,95.8,9.1,61.2,8.0,100.0
6.74,63.4,3.1,70.5,7.3,90.3
9.52,83.1,10.0,56.8,8.5,100.0
5.59,77.4,4.1,86.8,4.0,100.0
4.89,75.8,7.5,70.2,6.7,100.0
11.02,88.5,7.8,84.1,6.1,100.0
5.74,86.7,7.2,64.8,8.5,100.0
9.21,72.0,7.8,78.7,6.9,100.0
6.47,86.0,6.5,76.6,8.0,100.0
2.23,84.3,6.2,54.6,7.3,87.3
2.4,74.1,7.3,87.3,8.4,100.0
6.61,67.1,7.8,100.0,8.1,100.0
8.78,89.3,6.3,81.1,7.1,100.0
9.17,88.3,8.1,52.2,7.7,100.0
4.69,86.6,5.9,58.2,7.1,100.0
1.1,76.3,6.4,41.6,6.6,89.1
6.87,93.4,7.1,58.6,7.7,100.0
3.09,100.0,8.3,89.6,9.0,100.0
4.52,83.0,6.9,80.7,8.1,98.3
7.23,86.6,8.2,56.7,6.2,100.0
5.31,73.3,10.0,53.1,8.1,100.0
6.05,73.4,6.6,60.5,6.1,95.1
1.56,98.7,9.8,81.3,4.0,98.8
3.01,100.0,5.1,74.2,5.9,95.0
10.26,78.9,8.6,86.2,7.3,100.0
6.63,74.9,7.1,60.6,5.3,94.5
10.74,72.2,10.0,69.8,7.3,100.0
10.43,75.3,6.6,59.8,8.5,100.0
3.12,81.8,6.0,65.9,7.0,100.0
5.4,69.0,9.4,64.6,7.6,100.0
6.78,74.3,8.2,64.8,6.7,100.0
2.07,90.6,7.6,75.4,4.2,100.0
1.94,79.6,3.1,62.6,7.4,89.5
10.26,73.5,8.2,66.6,6.2,100.0
10.09,69.6,7.3,57.7,7.4,100.0
5.22,91.8,7.6,82.8,4.7,100.0
8.77,70.8,6.1,89.0,7.3,100.0
6.7,79.8,9.8,91.8,7.7,100.0
9.22,91.1,7.4,78.2,8.7,100.0
4.47,86.5,7.0,68.0,7.3,93.6
6.21,84.1,4.7,57.2,5.5,97.9
10.82,84.1,7.1,55.8,7.1,100.0
9.98,71.8,5.5,67.5,4.7,100.0
4.41,74.0,9.9,53.5,4.8,99.7
10.7,76.5,7.9,77.6,7.4,100.0
5.39,52.7,6.4,71.4,7.8,95.5
8.51,77.0,7.1,52.3,7.3,98.1
8.83,80.2,10.0,65.8,8.5,100.0
5.42,80.3,7.7,78.6,8.1,100.0
10.1,79.9,7.4,82.3,7.8,100.0
6.12,83.2,10.0,71.1,5.1,100.0
11.57,83.9,8.1,76.2,6.2,100.0
11.3,97.4,9.1,72.4,7.3,100.0
10.9,82.7,6.8,63.2,5.3,100.0
10.99,89.7,6.8,70.4,5.6,100.0
2.62,75.3,9.0,70.1,5.2,90.8
8.13,84.5,7.4,61.7,6.3,100.0
9.15,84.1,8.1,71.6,7.3,100.0
6.82,79.0,7.3,68.4,8.5,100.0
6.82,64.2,7.4,73.3,7.1,100.0
3.22,67.9,7.2,68.8,6.6,87.3
2.77,85.7,5.1,68.6,5.8,89.0
9.61,80.8,9.8,47.1,8.6,100.0
2.65,78.8,6.4,96.8,7.4,100.0
9.01,74.5,5.3,77.3,7.9,100.0
1.85,82.2,7.6,73.9,5.8,92.3
5.53,87.0,6.3,89.8,5.6,100.0
1.26,99.9,9.7,80.6,7.4,100.0
8.26,81.2,8.6,74.5,7.2,100.0
4.22,79.6,6.4,76.6,8.5,100.0
6.14,84.1,5.8,88.7,6.3,100.0
4.15,93.0,8.6,71.9,6.8,99.3
6.67,100.0,6.2,52.7,6.4,100.0
8.23,87.0,5.0,50.7,8.3,100.0
2.84,67.1,4.4,85.3,6.1,91.2
9.55,81.7,8.7,66.4,8.0,100.0
9.61,70.2,4.6,75.2,7.0,100.0
11.36,71.9,5.3,67.7,7.7,100.0
5.19,99.6,8.7,74.1,8.7,100.0
10.6,78.1,8.9,58.7,7.7,100.0
2.03,74.4,5.3,74.4,9.4,87.4
11.93,95.3,6.3,41.6,7.5,100.0
3.33,82.4,9.2,65.5,4.9,94.6
5.11,70.3,7.8,52.5,7.5,99.2
2.03,82.2,6.6,68.8,6.8,91.0
10.19,67.7,7.6,69.8,6.0,100.0
6.35,73.1,8.2,66.8,6.8,100.0
11.59,83.5,5.5,70.4,6.0,100.0
2.59,56.3,5.6,47.6,7.6,84.2
10.81,88.8,9.4,55.7,7.4,100.0
4.96,84.2,10.0,66.0,8.1,100.0
3.6,90.1,9.1,73.2,7.8,100.0
8.23,77.8,7.1,71.6,7.8,100.0
1.33,86.0,6.2,48.1,5.4,82.8
6.78,71.9,7.5,84.0,6.7,100.0
6.21,72.5,9.3,67.1,4.7,100.0
1.53,82.8,9.7,87.8,7.8,100.0
5.78,82.0,7.4,76.6,7.0,100.0
4.35,81.7,8.2,82.3,7.4,100.0
3.74,95.3,4.8,74.8,6.9,92.0
11.23,79.1,7.2,62.9,7.4,100.0
7.58,86.3,10.0,65.3,4.6,100.0
2.7,85.2,7.2,78.8,7.4,100.0
9.33,83.4,8.3,64.1,9.1,100.0
5.07,85.9,9.1,45.6,7.5,100.0
7.59,64.5,8.9,68.3,6.5,100.0
5.18,76.3,7.6,71.2,8.6,100.0
8.02,92.8,6.4,73.7,7.4,100.0
8.5,78.9,3.6,76.7,7.5,100.0
4.12,88.8,5.4,92.2,9.4,100.0
10.14,86.5,6.9,50.4,7.6,100.0
7.8,51.4,8.7,89.5,6.2,100.0
7.66,68.7,7.8,76.9,6.0,100.0
3.4,75.2,9.5,68.1,8.4,94.5
3.79,75.0,5.3,52.1,5.1,87.3
5.35,77.3,4.2,69.1,6.4,100.0
1.37,77.5,8.5,75.4,6.2,96.4
1.6,73.7,10.0,67.7,8.2,96.1
8.29,75.1,7.8,62.6,6.8,100.0
4.48,62.3,6.5,61.0,7.2,99.9
8.92,100.0,9.0,58.7,4.8,100.0
1.82,95.7,10.0,75.9,6.4,95.5
9.14,90.5,5.3,75.0,7.0,100.0
3.36,80.9,6.8,79.6,6.9,94.1
10.57,72.7,9.3,58.8,7.0,100.0
10.97,100.0,7.9,84.2,7.7,100.0
8.58,72.3,6.0,97.9,7.3,100.0
5.34,96.0,6.9,69.3,8.6,100.0
1.28,84.8,5.9,81.9,6.4,91.5
9.37,72.6,4.8,52.3,6.9,100.0
7.19,73.6,8.0,96.7,6.5,100.0
1.91,77.5,5.1,75.7,8.9,94.7
7.28,75.5,7.2,82.9,8.5,100.0
1.07,67.6,5.8,71.6,5.4,88.7
5.97,86.0,8.2,49.1,5.5,100.0
7.75,72.5,6.8,74.0,8.1,100.0
9.83,89.3,7.0,68.0,8.2,100.0
4.2,79.9,4.7,79.2,7.6,99.6
3.55,83.1,7.8,58.1,5.2,95.4
4.64,82.9,6.6,31.8,6.3,80.6
1.65,77.8,6.0,67.2,6.2,92.4
11.25,80.7,8.2,64.1,6.7,100.0
10.69,83.4,9.0,76.9,6.8,100.0
7.62,100.0,10.0,57.8,5.0,100.0
1.82,68.8,7.7,63.5,6.2,83.7
1.92,74.7,7.8,63.6,6.3,92.4
11.25,77.8,5.7,59.2,4.5,100.0
2.37,69.1,6.2,74.8,9.0,94.1
2.6,68.3,9.5,64.7,9.0,99.6
9.64,66.1,6.6,62.2,6.0,100.0
4.32,81.0,10.0,59.9,6.4,95.2
5.53,76.2,5.2,64.4,6.4,98.8
5.51,83.2,7.2,86.5,6.1,100.0
8.7,67.2,7.1,65.2,7.7,100.0
6.2,72.5,6.2,60.2,5.7,96.9
9.93,90.6,6.9,69.4,8.1,100.0
6.46,89.0,7.1,77.7,7.8,100.0
4.2,65.8,7.8,68.2,7.0,100.0
3.14,89.7,7.3,73.1,9.4,96.4
9.31,75.9,9.3,75.7,8.0,100.0
3.41,70.3,10.0,77.2,6.6,100.0
7.7,88.6,8.8,70.8,6.8,100.0
7.62,90.3,8.2,51.5,8.4,100.0
11.6,56.4,5.7,66.7,6.1,100.0
1.99,89.9,6.5,60.3,5.7,84.0
3.28,76.3,4.4,76.9,8.0,100.0
8.28,76.0,8.4,83.5,7.9,100.0
4.64,77.5,4.8,63.6,6.1,92.3
2.41,91.9,8.7,77.0,9.3,100.0
10.85,93.7,6.1,72.6,6.5,100.0
9.05,84.4,8.1,65.3,8.3,100.0
3.45,88.8,8.4,84.8,7.6,100.0
2.05,100.0,4.1,62.6,6.1,90.0
10.27,80.7,6.1,59.9,6.9,100.0
7.27,70.8,8.1,57.7,4.1,99.0
11.23,86.1,8.4,80.7,8.2,100.0
6.69,87.9,8.9,59.2,7.1,100.0
3.54,79.3,6.9,59.0,8.2,97.4
2.47,79.0,7.3,80.9,6.0,90.5
5.6,100.0,10.0,72.3,6.8,100.0
8.52,78.4,7.9,66.2,5.4,100.0
1.05,72.0,9.0,57.8,6.1,77.1
5.35,54.2,7.0,70.8,8.0,98.0
5.44,89.1,4.8,55.3,7.7,93.8
8.38,93.7,8.3,70.3,8.6,100.0
3.14,69.3,8.5,69.8,8.3,100.0
10.64,86.8,9.2,67.2,7.2,100.0
4.58,77.6,5.9,70.3,4.0,93.4
10.09,81.7,6.2,75.3,8.8,100.0
10.1,75.2,3.6,46.5,7.3,100.0
10.73,81.0,8.5,55.5,10.0,100.0
3.85,89.7,9.0,76.7,9.3,100.0
10.24,76.0,6.3,66.2,7.8,100.0
3.54,74.3,6.7,78.1,7.3,99.5
5.39,71.0,7.1,88.3,6.7,100.0
2.95,92.4,10.0,86.6,5.7,100.0
6.33,72.8,9.1,79.8,6.3,100.0
1.83,87.3,9.6,69.3,7.0,100.0
11.53,68.7,7.2,82.2,5.8,100.0
1.14,59.9,6.7,60.9,6.7,78.1
6.46,75.5,9.5,70.4,8.3,100.0
10.22,83.5,4.5,65.0,5.8,100.0
2.46,92.0,8.4,62.5,6.8,95.6
7.57,89.1,5.2,59.3,6.7,99.6
6.84,84.4,8.9,73.2,7.2,100.0
9.33,56.3,8.4,49.8,5.9,98.7
8.68,86.0,5.9,45.0,6.5,97.6
10.08,66.4,7.9,80.0,4.3,100.0
9.73,74.2,5.5,72.9,6.8,100.0
7.41,99.0,5.6,77.9,7.8,100.0
4.85,91.2,6.8,66.7,7.8,100.0
2.18,70.4,6.1,73.7,8.4,85.4
2.8,77.7,9.3,62.2,5.8,81.3
10.58,89.1,10.0,61.9,7.4,100.0
3.93,79.7,7.5,54.7,7.2,92.1
10.83,79.1,7.5,89.4,6.7,100.0
4.37,70.0,8.8,56.6,7.4,100.0
1.63,86.6,6.9,86.8,7.1,97.9
4.19,87.9,8.3,53.7,5.9,96.6
5.23,73.3,4.1,57.3,9.0,90.1
2.14,61.0,6.2,82.6,9.0,92.2
5.73,99.3,4.7,75.0,5.6,100.0
9.78,74.3,4.0,73.0,7.7,100.0
5.55,85.4,9.2,57.0,6.3,100.0
6.43,72.8,6.9,79.6,8.0,100.0
11.99,73.9,10.0,57.8,6.1,100.0
3.37,90.9,10.0,71.7,5.6,97.7
6.98,78.2,7.4,59.5,7.6,100.0
11.87,89.0,6.7,86.5,6.4,100.0
6.45,89.3,6.1,72.8,7.3,100.0
7.51,76.2,3.1,84.1,6.5,100.0
7.01,84.3,6.5,66.2,5.7,100.0
2.27,89.1,7.0,59.6,4.0,82.8
8.88,93.8,6.3,51.8,8.2,100.0
11.03,78.7,5.7,71.1,7.4,100.0
11.19,81.5,7.3,82.2,4.5,100.0
7.45,72.0,6.8,74.4,5.7,100.0
4.88,89.2,7.7,59.6,6.7,90.9
8.43,82.4,5.7,62.7,8.6,100.0
11.39,68.1,10.0,62.7,7.9,100.0
11.76,77.9,8.4,67.7,8.0,100.0
4.11,80.3,7.2,76.3,7.5,100.0
11.29,75.6,6.1,69.7,7.0,100.0
9.03,74.3,5.7,76.5,7.2,100.0
10.59,65.2,8.9,73.3,7.5,100.0
2.84,82.5,6.7,55.9,6.3,84.1
11.74,77.3,7.6,69.2,4.5,100.0
9.29,90.6,8.2,56.1,7.5,100.0
2.83,80.5,6.5,69.2,6.8,95.5
6.94,89.9,7.9,73.2,5.2,100.0
2.23,69.6,4.1,58.8,6.7,79.4
8.97,85.3,5.7,52.3,8.4,100.0
7.55,88.8,4.0,70.6,5.9,100.0
7.36,88.9,6.7,66.6,6.6,100.0
10.32,78.8,6.7,81.9,6.4,100.0
9.47,72.7,10.0,60.3,6.0,100.0
2.01,98.2,6.0,87.6,6.2,96.9
9.38,79.7,7.7,75.9,6.7,100.0
6.96,69.7,8.2,50.1,8.1,100.0
3.08,79.5,10.0,60.0,7.1,89.4
4.82,84.9,8.3,68.4,8.0,100.0
6.6,74.6,8.8,66.6,6.8,100.0
10.45,85.8,10.0,57.5,7.1,100.0
10.7,90.6,4.4,46.4,5.1,100.0
2.12,81.3,6.4,64.4,7.5,93.1
5.86,91.8,6.8,65.4,8.1,100.0
10.28,80.6,7.3,74.9,7.1,100.0
7.63,77.1,6.3,70.3,8.2,100.0
10.41,97.5,9.3,55.2,8.4,100.0
7.57,88.0,6.3,77.3,7.2,100.0
3.45,82.9,6.3,61.0,7.6,100.0
6.53,63.9,8.3,79.5,9.3,100.0
6.67,68.0,6.1,62.5,6.1,100.0
10.83,65.2,5.5,61.5,7.5,100.0
4.91,81.3,5.1,68.0,9.2,99.7
3.58,81.5,7.2,77.2,6.3,100.0
9.24,85.9,9.2,71.2,9.3,100.0
5.62,92.1,8.8,52.6,7.2,100.0
6.33,66.6,8.2,79.6,6.3,100.0
11.74,68.4,7.6,60.1,7.8,100.0
8.42,72.6,6.4,50.8,8.0,100.0
8.39,86.3,7.2,47.8,6.5,100.0
11.27,84.6,5.2,83.6,7.3,100.0
8.88,71.4,7.7,86.2,6.6,100.0
11.5,74.8,9.2,61.5,6.4,100.0
7.97,85.5,4.5,64.6,7.5,100.0
7.46,82.4,9.8,67.4,8.2,100.0
4.13,91.9,3.5,53.0,6.1,87.9
3.54,73.7,6.0,69.6,6.9,96.6
6.85,80.4,5.5,74.6,9.5,100.0
1.65,71.9,6.1,63.0,7.8,72.2
2.85,93.2,6.8,70.9,5.3,93.2
